epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6639,0.62825,3.37939,1.04669,0.02847,1,0.2653,0.24649,0.40767,3.30815,0.85101,0.0002,0.0002,0.0002
2,23.0392,0.62459,2.83924,1.01601,0.01891,1,0.38173,0.35327,0.41669,2.99945,0.84717,0.000401882,0.000401882,0.000401882
3,25.4223,0.6441,2.33184,1.01287,0.81861,0.3406,0.52813,0.46551,0.55929,2.44962,0.92644,0.000595448,0.000595448,0.000595448
4,27.5818,0.66625,1.9954,1.03888,0.52073,0.68982,0.57433,0.49934,0.57633,1.86776,0.93378,0.000780698,0.000780698,0.000780698
5,29.6988,0.67595,1.79779,1.00942,0.51312,0.65364,0.5937,0.52535,0.56811,2.09766,0.94757,0.0009208,0.0009208,0.0009208
6,31.787,0.61206,1.7184,0.99214,0.52838,0.80833,0.68378,0.61435,0.54175,1.32087,0.90577,0.000901,0.000901,0.000901
7,33.9339,0.58634,1.58575,0.98275,0.58295,0.84687,0.74445,0.6634,0.53104,1.21967,0.89178,0.0008812,0.0008812,0.0008812
8,36.0811,0.56884,1.49204,0.95768,0.51562,0.79518,0.72648,0.64473,0.58164,1.68697,0.93424,0.0008614,0.0008614,0.0008614
9,38.3373,0.5722,1.40579,0.9702,0.5079,0.73847,0.74992,0.68178,0.52147,1.59221,0.89332,0.0008416,0.0008416,0.0008416
10,40.3381,0.58639,1.35248,0.96692,0.67321,0.9112,0.82612,0.76603,0.51504,1.06825,0.87809,0.0008218,0.0008218,0.0008218
11,42.4746,0.57293,1.27357,0.97554,0.7012,0.86407,0.85496,0.77742,0.5362,0.98463,0.87719,0.000802,0.000802,0.000802
12,44.743,0.54257,1.17587,0.94952,0.8228,0.88623,0.91229,0.84991,0.48454,0.81465,0.86947,0.0007822,0.0007822,0.0007822
13,46.7627,0.56848,1.22456,0.96227,0.63714,0.86873,0.85806,0.80445,0.47522,1.04316,0.88694,0.0007624,0.0007624,0.0007624
14,49.0365,0.53505,1.09711,0.9458,0.83884,0.90811,0.9279,0.85601,0.49682,0.78477,0.88922,0.0007426,0.0007426,0.0007426
15,51.2057,0.51946,1.03703,0.94059,0.85506,0.9328,0.96662,0.88878,0.50772,0.76208,0.88636,0.0007228,0.0007228,0.0007228
16,53.4262,0.50522,0.98436,0.92304,0.81659,0.83154,0.92,0.84028,0.53767,0.88844,0.9222,0.000703,0.000703,0.000703
17,55.6146,0.531,0.99726,0.94128,0.90222,0.9492,0.97315,0.90167,0.51583,0.70749,0.92849,0.0006832,0.0006832,0.0006832
18,57.6802,0.52225,0.95493,0.93667,0.87779,0.85036,0.9589,0.88584,0.50196,0.81495,0.90456,0.0006634,0.0006634,0.0006634
19,59.9414,0.50652,0.88184,0.91928,0.9,0.92283,0.95389,0.89425,0.48465,0.72883,0.89074,0.0006436,0.0006436,0.0006436
20,62.1413,0.51924,0.8475,0.93272,0.88478,0.82309,0.95581,0.89153,0.46645,1.14642,0.87042,0.0006238,0.0006238,0.0006238
21,64.1581,0.50337,0.8495,0.92837,0.90607,0.97854,0.98472,0.91523,0.44787,0.54152,0.87489,0.000604,0.000604,0.000604
22,66.1728,0.49471,0.8416,0.9213,0.90731,0.97537,0.98028,0.92314,0.43125,0.58182,0.87175,0.0005842,0.0005842,0.0005842
23,68.3778,0.47514,0.79711,0.90901,0.92433,0.90817,0.96886,0.91726,0.45015,0.58581,0.865,0.0005644,0.0005644,0.0005644
24,70.5449,0.47704,0.80314,0.92482,0.94199,0.97548,0.98434,0.91464,0.47121,0.49448,0.86979,0.0005446,0.0005446,0.0005446
25,72.6863,0.46432,0.78736,0.90779,0.89332,0.94669,0.98028,0.92252,0.43478,0.5698,0.85319,0.0005248,0.0005248,0.0005248
26,74.9264,0.45443,0.73748,0.91282,0.82809,0.87094,0.9486,0.89304,0.40004,0.75185,0.84724,0.000505,0.000505,0.000505
27,77.1476,0.46474,0.73805,0.91228,0.93023,0.91497,0.98069,0.92981,0.421,0.51901,0.85545,0.0004852,0.0004852,0.0004852
28,79.4152,0.46407,0.73279,0.90389,0.91862,0.93624,0.97876,0.91428,0.45553,0.51485,0.86942,0.0004654,0.0004654,0.0004654
29,81.6671,0.46068,0.70213,0.91697,0.92385,0.9828,0.98119,0.92097,0.4387,0.48243,0.85915,0.0004456,0.0004456,0.0004456
30,83.8456,0.4468,0.65127,0.88899,0.96071,0.90539,0.98922,0.91596,0.44655,0.70849,0.86106,0.0004258,0.0004258,0.0004258
31,86.0229,0.44422,0.66903,0.89887,0.97427,0.94509,0.99044,0.94135,0.41134,0.42475,0.86272,0.000406,0.000406,0.000406
32,88.3976,0.43711,0.63697,0.89377,0.96519,0.97759,0.98775,0.92919,0.44387,0.39691,0.8685,0.0003862,0.0003862,0.0003862
33,90.8547,0.43758,0.64492,0.90576,0.96605,0.96457,0.98742,0.93302,0.43808,0.58155,0.86998,0.0003664,0.0003664,0.0003664
34,92.9385,0.43838,0.65228,0.90019,0.93149,0.97171,0.99111,0.9289,0.46129,0.53108,0.86682,0.0003466,0.0003466,0.0003466
35,94.9942,0.41924,0.58313,0.89338,0.95296,0.92362,0.98979,0.94307,0.42698,0.51463,0.86249,0.0003268,0.0003268,0.0003268
